Year,Q1,Q2,Q3,Q4
2003,130.9,131.5333333,135.8333333,139.1666667
2004,140.3666667,141.0666667,145.0333333,148.4
2005,149.1,149.9666667,154.1,157.5
2006,158.3666667,159,163.6,167.3666667
2007,167.8883333,168.3853333,172.6163333,176.661
2008,177.4356667,178.0443333,182.8536667,186.7726667
2009,187.243,187.816,192.6466667,195.7233333
2010,196.1523333,196.9996667,201.0116667,203.1843333
2011,204.1536667,204.6016667,209.5906667,212.7253333
2012,213.0793333,213.4096667,217.9886667,220.8346667
2013,221.8083333,222.0326667,225.799,228.4446667
2014,228.7563333,229.5986667,233.273,236.028
2015,237.027,238.297,242.0356667,244.7806667
2016,244.8166667,245.512,248.509,251.2646667
2017,251.197,251.206,253.901,256.5416667
2018,256.0166667,256.111,260.142,263.0883333
2019,263.55,264.2516667,266.7393333,268.8193333
2020,269.217,269.7773333,271.5086667,272.4203333
2021,272.112,272.514,275.5786667,278.016
2022,278.285,279.5216667,283.669,286.806
2023,287.8066667,288.9436667,292.1466667,293.9326667
2024,295.1196667,,,