Year,Quarter,Mortgage Rate
2003,Q1,5.840769231
2003,Q2,5.506923077
2003,Q3,6.033846154
2003,Q4,5.919285714
2004,Q1,5.5975
2004,Q2,6.106153846
2004,Q3,5.894285714
2004,Q4,5.736153846
2005,Q1,5.768461538
2005,Q2,5.708461538
2005,Q3,5.763846154
2005,Q4,6.226153846
2006,Q1,6.246923077
2006,Q2,6.602307692
2006,Q3,6.56
2006,Q4,6.243846154
2007,Q1,6.214615385
2007,Q2,6.358461538
2007,Q3,6.551538462
2007,Q4,6.224615385
2008,Q1,5.872307692
2008,Q2,6.086923077
2008,Q3,6.322307692
2008,Q4,5.841428571
2009,Q1,5.06
2009,Q2,5.012307692
2009,Q3,5.162307692
2009,Q4,4.922142857
2010,Q1,4.995833333
2010,Q2,4.922307692
2010,Q3,4.447142857
2010,Q4,4.436153846
2011,Q1,4.846923077
2011,Q2,4.650769231
2011,Q3,4.291538462
2011,Q4,4.002307692
2012,Q1,3.922307692
2012,Q2,3.794615385
2012,Q3,3.553846154
2012,Q4,3.359230769
2013,Q1,3.496923077
2013,Q2,3.672307692
2013,Q3,4.44
2013,Q4,4.293076923
2014,Q1,4.364615385
2014,Q2,4.227692308
2014,Q3,4.135384615
2014,Q4,3.963571429
2015,Q1,3.716666667
2015,Q2,3.819230769
2015,Q3,3.954615385
2015,Q4,3.897857143
2016,Q1,3.738461538
2016,Q2,3.589230769
2016,Q3,3.446153846
2016,Q4,3.842307692
2017,Q1,4.173076923
2017,Q2,3.98
2017,Q3,3.883846154
2017,Q4,3.922307692
2018,Q1,4.282307692
2018,Q2,4.544615385
2018,Q3,4.566923077
2018,Q4,4.784615385
2019,Q1,4.373846154
2019,Q2,4.010769231
2019,Q3,3.658461538
2019,Q4,3.7
2020,Q1,3.521538462
2020,Q2,3.239230769
2020,Q3,2.952307692
2020,Q4,2.760714286
2021,Q1,2.875833333
2021,Q2,3.003846154
2021,Q3,2.872142857
2021,Q4,3.079230769
2022,Q1,3.822307692
2022,Q2,5.266153846
2022,Q3,5.623076923
2022,Q4,6.664615385
2023,Q1,6.372307692
2023,Q2,6.510769231
2023,Q3,7.04
2023,Q4,7.303846154
2024,Q1,6.748461538
2024,Q2,