Year,Quarter,Student.Loan.Rate
2003,Q1,3.42
2003,Q2,3.42
2003,Q3,3.42
2003,Q4,3.42
2004,Q1,3.37
2004,Q2,3.37
2004,Q3,3.37
2004,Q4,3.37
2005,Q1,5.3
2005,Q2,5.3
2005,Q3,5.3
2005,Q4,5.3
2006,Q1,5.3
2006,Q2,6.8
2006,Q3,6.8
2006,Q4,6.8
2007,Q1,6.8
2007,Q2,6.8
2007,Q3,6.8
2007,Q4,6.8
2008,Q1,6.8
2008,Q2,6.8
2008,Q3,6.8
2008,Q4,6.8
2009,Q1,6.8
2009,Q2,6.8
2009,Q3,6.8
2009,Q4,6.8
2010,Q1,6.8
2010,Q2,6.8
2010,Q3,6.8
2010,Q4,6.8
2011,Q1,6.8
2011,Q2,6.8
2011,Q3,6.8
2011,Q4,6.8
2012,Q1,6.8
2012,Q2,6.8
2012,Q3,6.8
2012,Q4,6.8
2013,Q1,6.8
2013,Q2,6.8
2013,Q3,3.86
2013,Q4,3.86
2014,Q1,3.86
2014,Q2,3.86
2014,Q3,4.66
2014,Q4,4.66
2015,Q1,4.66
2015,Q2,4.66
2015,Q3,4.29
2015,Q4,4.29
2016,Q1,4.29
2016,Q2,4.29
2016,Q3,3.76
2016,Q4,3.76
2017,Q1,3.76
2017,Q2,3.76
2017,Q3,4.45
2017,Q4,4.45
2018,Q1,4.45
2018,Q2,4.45
2018,Q3,5.05
2018,Q4,5.05
2019,Q1,5.05
2019,Q2,5.05
2019,Q3,4.53
2019,Q4,4.53
2020,Q1,4.53
2020,Q2,4.53
2020,Q3,2.75
2020,Q4,2.75
2021,Q1,2.75
2021,Q2,2.75
2021,Q3,3.73
2021,Q4,3.73
2022,Q1,3.73
2022,Q2,3.73
2022,Q3,4.99
2022,Q4,4.99
2023,Q1,4.99
2023,Q2,4.99
2023,Q3,7.05
2023,Q4,7.05